target,text
ministry tourism,ministry tourism developed state assessment framework ideated world economic forum travel tourism competitiveness index ttci assessing evaluating performance statesuts travel tourism sector framework comprises four domain 30 indicator distributed among
ministry tourism,celebrate azadi ka amrit mahotsav urge everyone visit national war memorial amrit kaal pay tribute soldier sacrificed life nation tourism secretary sh arvind singh
ministry tourism,honble minister tourism culture doner along honble minister railway communication electronics information technology flagged bharat gaurav tourist train covering ramayana circuit 18 day delhi safdarjung railway station unique concept bharat gaurav train helpful promoting mass tourism provide opportunity explore architectural cultural historical country
ministry information broadcasting,aim make india content subcontinent world shri anurag thakur indian content going explode globally shri ranveer singh hip hop happening pavilion expo indian pavilion shri ranveer singh indian prefer fly dubai western capital pandemic year shri anurag thakur india great potential tourism talent benefit global industry mr issam kazim ceo dubai corporation tourism commerce marketing
ministry information broadcasting,people eagerly await result recently held assembly poll 5 state dd news india radio news news broadcasting arm public broadcaster prasar bharati set cover minute minute update counting day march 10 2022 wide network onground reporter stringer ensure accuracy factcheck counting statistic dd news bring accurate figure real time five state political expert psephologist analysing figure live dd news show janadesh 7 onwards
ministry information broadcasting,ministry information broadcasting ordered blocking apps website social medium account foreignbased punjab politics tv close link sikh justice sfj organization declared unlawful unlawful activity prevention act 1967 relying intelligence input channel attempting use online medium disturb public order ongoing state assembly election ministry used emergency power rule 18th february block digital medium resource punjab politics tv
ministry information broadcasting,union minister information broadcasting shri anurag thakur today congratulated kangra central cooperative bank kccb phenomenal turn around bank suffered loss around r 46 crore four year earned profit r 87 crore financial year 202122 minister expressed profound happiness also happens highest ever profit earned bank shri thakur reiterated vision prime minister shri narendra modi government steadfast effort merge spirit cooperation spirit azadi ka amritkaal prime minister categorically stated government working ensure cooperative society become competitive market get level playing field reduction tax cooperative move towards goal minister recalled remarkable achievement bank motto sahkarita se samriddhi prosperity cooperation
ministry information broadcasting,shri satyendra prakash assumed charge principal director general press information bureau pib today shri prakash officer indian information service batch 1988 prior held position principal dg central bureau communication shri satyendra prakash wide experience central government field public communication medium management administration policy formulation programme implementation represented government india various national international forum like unesco unicef undp etc instrumental formulation draft guideline content regulation government advertising internet digital medium policy fm radio policy digital cinema policy etc central bureau communication recognized role presentation first ever tableau ministry information broadcasting republic day 2021 theme vocal local
ministry information broadcasting,union minister information broadcasting shri anurag thakur today released three book published directorate publication division upon release minister presented first copy book president india shri ram nath kovind presence vice president shri venkaiah naidu presidentelect smt droupadi murmu prime minister shri narendra modi three book mood moment memory former president india 19502017 visual history first citizen pictorial record president ram nath kovinds term interpreting geometry flooring rashtrapati bhavan
ministry information broadcasting,jury 68th national film award announced winner year 2020 today ahead announcement chairperson jury member called union minister information broadcasting shri anurag thakur presented selection award shri thakur congratulated winner said 2020 particularly difficult year film due covid pandemic yet nomination consisted great work minister also thanked jury diligently going entry selecting best award
ministry information broadcasting,union minister information broadcasting shri anurag thakur today said 202122 ministry taken strong action youtube channel working interest country responding question rajya sabha shri thakur said ministry acted 94 youtube channel 19 social medium account 747 url got blocked action taken section 69a information technology act 2000 minister said government strongly acted agency working sovereignty country spreading fake news spreading propaganda internet
ministry information broadcasting,steering committee deliberates roadmap 53rd international film festival india iffi festival aim providing common platform filmmaker across globe showcase talent put forth excellence cinema bringing together film culture festival allows understanding various social cultural ethos appreciation world cinema festival conducted jointly directorate film festival ministry information broadcasting government india state government goa
ministry information broadcasting,government approves assistance 7 journalist 35 family journalist journalist welfare scheme 16 family journalist lost life due covid19 get government assistance central government approved proposal journalist welfare scheme committee headed sh apurva chandra secretary ministry information broadcasting provide financial relief family 35 journalist lost life includes 16 family journalist died due covid19 journalist welfare scheme jws family provided assistance r 5 lakh
ministry information broadcasting,ministry information broadcasting three different order today transferred mandate production documentary short film organization film festival preservation film national film development corporation nfdc psu working ministry bringing activity single management reduce overlap various activity ensure better utilization public resource mandate production feature film already carried nfdc give strong impetus production film genre including feature film documentary child film animation film promotion film participation different international festival organizing various domestic festival preservation filmic content digitization restoration film distribution outreach activity ownership asset available unit however remain government india
ministry information broadcasting,unique innovative programme guardian ring envisaged year international yoga day 2022 announced honble prime minister shri narendra modi mann ki baat programme guardian ring programme celebrates movement sun underlining concept one sun one earth east west people country would welcome sun yoga celebrating indian tradition surya namaskar sunsalutation oneofakind programme telecast live exclusively dd india international channel india public broadcaster prasar bharati
ministry information broadcasting,union education skill development entrepreneurship minister shri dharmendra pradhan along union minister information broadcasting sport shri anurag thakur today released book loktantra ke swar republican ethic selected speech president india shri ram nath kovind fourth volume series featuring fourth year presidency shri ram nath kovind compilation contains speech wide range subject ebooks also released occasion
ministry information broadcasting,union minister information broadcasting shri anurag singh thakur gifted himachali thaal topi shawl descendant general jean francois allard spouse princess bannu pan dei chamba visit allard square saint tropez france princess born chamba himachal pradesh
ministry information broadcasting,prime minister narendra modis vision prioritize preservation protection promotion india rich cultural heritage film constitutes important part heritage union minister information broadcasting shri anurag singhthakur said visit national film archive india pune today union minister highlighted national film heritage mission launched 2016 aimed preserving restoring digitizing cinematic heritage context union minister announced decision taken yesterday total outlay r 597 crore earmarked mission r 363 crore shall utilized exclusively restoration purpose making one world largest film restoration project
ministry electronics,ugc ministry electronics information collaborated launch eresource portal rural student initiative made order facilitate accessibility learning education per nep 2020
ministry electronics,ashwini vaishnaw minister electronics inaugurates 8 year mygov event new delhi
ministry electronics,ministry electronics information technology floated expression interest eoi seeking proposal autonomous governmentrecognised institution research development rd organisation startup establish national sensor hub
ministry electronics,memorandum understanding mou signed today ministry ayush ministry electronics information technology meity providing technical support ministry ayush digitalisation ayush sector ayush grid project period 3 year
ministry electronics,cater nextgeneration digital manufacturing mitigate immediate disability local industry shri ashwini vaishnaw union minister electronics information technology communication railway shri rajeev chandrasekhar minister state electronics information technology skill development entrepreneurship release national strategy additive manufacturing 24th february 2022 shri ajay sawhney secretary ministry electronics information technology meity shri jayesh ranjan principal secretary department industry commerce information technology telangana government attend event along senior official meity
ministry electronics,national mission power electronics technology nampet programme launched ministry electronics information technology meity govt india 2004 vision provide country capability become dominant player power electronics technology programme research development deployment commercialization power electronics technology envisaged enhancing indigenous rd expertise infrastructure country active participation academic institution industry
ministry electronics,ministry heavy industry mhi launched automated online data transfer system collect critical domestic value addition dva data production linked incentive scheme pli applicant enterprise resource planning erp system pli scheme launched boost domestic manufacturing investment export telecom networking product pli scheme automobile auto component industry india pli auto proposes financial incentive boost domestic manufacturing advanced automotive aat product attract investment automotive manufacturing value chain
ministry electronics,rollout 5g spectrum expected start october within year two good significant presence 5g country stated union minister railway communication electronics information technology shri ashwini vaishnaw mumbai today addressing press conference indian 5g opportunity union minister thanked telecom industry great response recently held 5g spectrum auction 5g service rollout happen october beginning spectrum auction completed next 23 day soon afterwards spectrum allocation happen already told industry act fast allocation order setup roll service soon type planning going said
ministry electronics,future roadmap digital revolution india includes cloud computing big way alongside egovernance already vanguard revolutionising governance country system powercentered resident servicecentered fusing two together national egovernance division negd ministry electronics information technology meity organized first batch capacity building programme cloud computing government official central line ministry stateut department mission mode project officer egovernance project head state emission team twoday programme held august 45 2022 haryana institute public administration covering participant delhincr
ministry electronics,common service centre cscs set digital india programme delivery public service including cyber service every citizen csc scheme envisages setting atleast one csc 250 lakh gram panchayat gps across country delivery various governmenttocitizen g2c citizencentric eservices citizen selfsustainable entrepreneurship model run village level entrepreneur vles june 2022 total 531203 cscs operational across state union territory country total 420198 cscs operational gram panchayat gp level
ministry electronics,certin extends timeline enforcement cyber security direction till 25 september 2022 msmes validation aspect subscriberscustomers detail enable msmes build capacity required implementation cyber security direction 28042022 data centre vps provider cloud service provider vpn service provider also given additional time implementation mechanism relating validation aspect subscriberscustomers detail
ministry electronics,qualcomm meitys centre development advanced computing cdac partner support indian semiconductor startup collaboration support group promising semiconductor design startup part government industry ongoing effort encourage innovation semiconductor space
ministry electronics,semiconductor manufacturing attracts interest global company good number application received programme ashwini vaishnaw semicon india program aim provide attractive incentive support company consortium engaged silicon semiconductor fabs display fabs compound semiconductor semiconductor design meeting parliamentary consultative committee attached ministry electronics held
ministry electronics,government shri narendra modi launch country biggest ever quiz contest sabka vikas mahaquiz sabka vikas mahaquiz aim build awareness amongst citizen government various scheme good governance sabka vikas mahaquiz launched 14th april tribute dr br ambedkar first quiz pradhan mantri garib kalyan anna yojana quiz available 12 language offering cash prize r 2000 1000 winner per quiz
ministry culture,shri amit shah minister home affair attend cultural programme muktimatrika freedom mother victoria memorial hall kolkata tomorrow event organised part ongoing celebration azadi ka amrit mahotsav minister home affair cooperation shri amit shah attend cultural programme muktimatrika freedom mother organised ministry culture victoria memorial hall kolkata tomorrow governor west bengal shri jagdeep dhankhar also grace occasion among dignitary
ministry culture,ministry culture autonomous body namely sahitya akademi sangeet natak akademi centre cultural resource training ccrt taken special step research study tribal culture art literature ccrt organizes various training programme create awareness indian culture including tribal culture school across country ccrt also set regional centre tribal dominated area ie regional centre guwahati assam regional centre udaipur rajasthan regional centre hyderabad regional centre damoh madhya pradesh tribal expert artist also involved training programme conducted regional centre
ministry culture,honor martyr kargil war ministry culture organizes special performance play kargil ek shaurya gatha national war memorial today national school drama organized special performance play kargil ek shaurya gatha directed shantanu bose dignitary army officer national war memorial new delhi honor martyr kargil war today today celebration national war memorial give u opportunity express gratitude cherish memory national hero smt meenakashi lekhi
ministry culture,ministry culture government india celebrating india 75 year independence azadi ka amrit mahotsav occasion national school drama nsd new delhi organizing festival azadi ka amrit mahotsav 22nd bharat rang mahotsav 2022 azadi segment remember pay tribute freedom fighter azadi ka amrit mahotsav 2022
ministry culture,nma submit report comprehensive development mahuli group temple ministry culture nma submit report comprehensive development mahuli group temple ministry culture famous group temple known dakshin kashi comprise five temple belonging 11th 12th ce hemadpanthi style architecture located near satara
ministry culture,mo culture shri arjun ram meghwal open azadi ka amrit mahotsav 22nd bharat rang mahotsav 2022 nsd prepare play based incident connected unsung hero bring story courage bravery citizen country sh arjun ram meghwal ministry culture government india celebrating india 75th year independence azadi ka amrit mahotsav occasion national school drama nsd new delhi organizing festival azadi ka amrit mahotsav 22nd bharat rang mahotsav 2022 azadi segment remember pay tribute freedom fighter azadi ka amrit mahotsav 2022 16th july 14th august 2022 opening ceremony festival inaugurated minister state parliamentary affair culture govt india sh arjun ram meghwal m malini awasthi padma shree awardee renowned indian folk singer sh arvind kumar director ministry culture among present occasion
ministry culture,ministry culture organized first event series dhara ode indian knowledge system today part weeklong celebration science vigyan sarvatra pujyate
ministry culture,smt meenakshi lekhi minister state culture external affair participated 7th brics culture minister meeting 24 may 2022 hosted people republic china video conference participation brics member nation discussion held advancement expansion cultural activity amongst brics country theme establishing cultural partnership featuring inclusiveness mutual learning among brics area focus discussion promoting development cooperation cultural digitalization strengthening cooperation cultural heritage protection advancing building cultural exchange platform brics country minister adopted brics action plan 20222026 strengthen cultural cooperation implement brics cultural cooperation agreement signed 2015
ministry culture,ministry culture commemorate 250th birth anniversary raja ram mohan roy 22nd may 2022 22nd may 2023 shri g kishan reddy unveil iconic statue raja ram mohan roy inaugural ceremony kolkata tomorrow
ministry culture,effort showcase historical importance vadnagar pm narendra modi spent childhood one earliest fortified town continuous human settlement ancient india discus key strategy development key international heritage destination government gujarat culture ministry planned elaborate twoday conference gandhinagar international participant starting may 18
ministry culture,prime minister shri narendra modi lead vaishakha buddha purnima celebration visit lumbini nepalthe birthplace buddha prime minister participates shilanyas ceremony construction india international centre buddhist culture heritage lumbini address large gathering monk ministry culture collaboration international buddhist confederation ibc host colourful programme vaishakha buddha purnima diva celebration new delhi buddhism india gift world bond india country including nepal shri kiren rijiju india home heritage lord buddha prime guidance developing world class infrastructure ensure buddhist pilgrim seamless experience shri g kishan reddy
ministry culture,large number indian classic popular indian work literary masterpiece promoted foreign language sahitya akademi sh g kishan reddy government india constantly taken various step promoteencourage translation indian literature foreign language sahitya akademi autonomous body mo culture year akademi promoted several indian classic popular indian work foreign language ayodhya canto ramayana told kamban tamil english chemmeen malayalam english several eastern european language kavitavali tulsidas english godaan premchand english garambica bapu sn pendse english pather panchali bibhuti bhushan bandyopadhyay french name
ministry culture,annual outlay fy 202223 ministry culture 13 higher revised annual outlay fy 202122 vikas development virasat heritage go handinhand evident fact year budgetary allocation tourism culture ministry significantly higher g kishan reddy outlay annual budget 202223 ministry culture r 300905 crore revised outlay r 266500 crore approved revised budget plan 20212022 outlay includes provision 2 attached office 6 subordinate office 34 central autonomous body scheme ministry financial year 202223 annual outlay fy 202223 13 higher revised annual outlay fy 202122
ministry culture,union minister culture tourism doner shri g kishan announced 10th century stone idol goat head yogini illegally removed temple lokhari banda uttar pradesh returned india announcing tweet today culture minister said repatriation rightful artifact continues
ministry culture,azadi ka amrit mahotsav initiative government india celebrate commemorate 75 year progressive india glorious history people culture achievement part celebration ministry culture organizing rangoli making event umang rangoli utsav 24th january 2022 day celebrated national girl child day every year commemorate day year nationwide event celebrating girl child organized azadi ka amrit mahotsav celebration
ministry culture,central advisory board archaeology caba meant strengthen contact archaeological survey india asi field archaeological research set meet tuesday seven year last meeting yet appoint expert body reconstituted recently body examine 70 proposal different state govrnments include matter pertaining fund excavation vacancy training restoration monument collab
ministry youth affair sport,sport authority india established para centre national centre excellence scheme sai regional centre gandhinagar shri anurag thakur
ministry youth affair sport,olympian javelin thrower shivpal singh visited national war memorial new delhi bear mute testimony supreme sacrifice made indian soldier postindependence
ministry youth affair sport,prime minister shri narendra modi virtually inaugurate 25th national youth festival tomorrow national youth festival strengthens national integration also spread spirit communal harmony brotherhood among youth
ministry youth affair sport,nion minister youth affair sport shri anurag thakur launched pilot nyks youth volunteer online training today secretary department youth affair smt usha sharma member admin capacity building commission shri praveen pardeshi joint secretary department youth affair shri nitesh kumar mishra official ministry also present occasion training organised ministry youth affair sport moyas partnership defeatncd partnership united nation institute training research unitar united nation childrens fund unicef nehru yuva kendra sangathan nyks overall coordination capacity building commission government india
ministry youth affair sport,government reviewed existing national youth policy 2014 prepared new draft national youth policy nyp placed public domain policy would finalized deliberation received suggestionscomments multi stake holder consultation draft nyp envisages tenyear vision youth development india seek achieve 2030 aligned sustainable development goal sdgs serf unlock potential youth advance india nyp seek catalyze widespread action youth development five priority area viz education employment entrepreneurship youth leadership development health fitness sport social justice priority area underpinned principle social inclusion keeping view marginalized section
ministry youth affair sport,first ever chess olympiad torch relay reached maharashtra today travelled prominent location nagpur pune torch reach mumbai 630 pm depart maharashtra goa tomorrow india celebrating 75th year independence chess olympiad torch taken 75 city country reaching chennai host city 44th fide chess olympiad july 28 august 10 2022
ministry youth affair sport,telengana based tennis player shrivalli rashmikaa making wave junior tennis circuit india several year 20yearold already two aita junior national championship name hold distinction winning invitational event staged rolandgarros india 2018 wherein winner competition got opportunity compete paris wildcard entry junior rolandgarros main draw rashmikaa also semifinalist itf grade 3 event focused going strength strength fledgling tennis career
ministry youth affair sport,khelo india university game 2021 kick glitzy opening ceremony vicepresident call encouraging sporting activity grassroot level preservation promotion rural indigenous game given top priority shri vankaiah naidu organization game amidst challenge pandemic epitomizes determination passion new india youthful passion driving india every field new momentum prime minister holistic approach 100 percent dedication key requirement success sport life shri narendra modi
ministry youth affair sport,sport authority india released total r 722 crore seven crore sixty two lakh twenty thousand pocket allowance opa total 2509 khelo india athlete kias across 21 discipline including para month january march 2022 financial assistance r 628 lakh allocated residential athlete training accredited academy per annual khelo india scholarship scheme includes pocket allowance r 120 lakh
ministry youth affair sport,paralympic gold silver medallist mariyappan thangavelu thursday february 24th visited salem holy angle girl matric hr sec school tamil nadu spoke student importance sport balanced diet one life
ministry youth affair sport,shri dharmendra pradhan shri anurag thakur address yuva samvad india2047 programme part azadi ka amrit mahotsav new delhi responsibility taking indian value ethos knowledge value model world rest upon youth shri dharmendra pradhan 750 yuva samvad programme organised across country right grassroot level give youth platform express view shri anurag thakur youth make largest contribution nation building make country vishwaguru sport minister amrit kaal youth must set amrit goal discharge duty responsibility achieve shri thakur
ministry youth affair sport,india clinch 6 medal including 4 gold 1 silver 1 bronze final day commonwealth game 2022 india total medal tally reach 61 22 gold medal pv sindhu lakshya sen satwik sairaj rankireddychirag shettya achanta sharath kamal win gold medal final day
ministry youth affair sport,government reviewed existing national youth policy 2014 prepared new draft national youth policy nyp placed public domain policy would finalized deliberation received suggestionscomments multi stake holder consultation draft nyp envisages tenyear vision youth development india seek achieve 2030 aligned sustainable development goal sdgs serf unlock potential youth advance india nyp seek catalyze widespread action youth development five priority area viz education employment entrepreneurship youth leadership development health fitness sport social justice priority area underpinned principle social inclusion keeping view marginalized section
ministry youth affair sport,among key dignitary present shri nisith pramanik union minister state home affair mya government india shri sandeep pradhan director general sport authority india well mr anil khanna acting president ioa tokyo 2020 olympic medallist bajrang punia pr sreejesh manpreet singh harmanpreet singh lovlina borgohain star member present ceremony among 215 strong squad prominent athlete present included like olympic medalist sakshi malik sprint star dutee chand hima da asian boxing championship gold medalist shiva thapa boxer amit panghal among others
prime minister office,prime minister narendra modi monday address niio naval innovation indigenisation organisation seminar swavlamban unveil sprint challenge initiative give fillip usage indigenous technology indian navy key pillar aatmanirbhar bharat attaining selfreliance defence sector part azadi ka amrit mahotsav niio conjunction defence innovation organisation dio aim inducting least 75 new indigenous technology product indian navy collaborative project named sprint supporting polevaulting rd idex niio tdac prime minister office pmo said
prime minister office,prime minister office get helping hand iitkanpur dealing lakh public grievance receives across country every year premier institute help top office artificial intelligencepowered algorithm smart analysis complaint news18 learnt pmo receives large number public grievance related topic fall purview different ministry department state close 80 per cent grievance almost 30 lakh year received centre pmo channel forwarded concerned ministry state
prime minister office,prime minister office get helping hand iitkanpur dealing lakh public grievance receives across country every year premier institute help top office artificial intelligencepowered algorithm smart analysis complaint news18 learnt pmo receives large number public grievance related topic fall purview different ministry department state close 80 per cent grievance almost 30 lakh year received centre pmo channel forwarded concerned ministry state
prime minister office,prime minister narendra modi monday urged citizen pledge anything lower dignity woman saying mentality insult speech behaviour crept speech occasion 76th independence day modi said respect woman important pillar india growth stressed need extend support nari shakti addressing nation rampart red fort
prime minister office,rime minister narendra modi monday called cooperative competitive federalism state seek outshine development front addressing nation india independence day programme different working style different dream country cannot different said referring federalism independence day address modi said dream come true state move shoulder shoulder
