target,text
Ministry of Commerce and Industry,"India’s merchandise export during first Quarter of 2022-23 jumps 22.2% to USD 116.7 billion over USD 95.5 billion in first Quarter of 2021-22, recording highest ever export during first Quarter. Non-Petroleum export rises 11.9% to USD 92.5 billion over the same period of last year."
Ministry of Commerce and Industry,"April exports jump 24.22%, continuing the record-breaking 2021-22 performance, resulting in highest ever exports in April. Non-petroleum exports rise 12.3% in April, non-petroleum imports up only 9.8%. Petroleum products, Electronic goods and chemicals record major increase in exports"
Ministry of Commerce and Industry,"India has achieved highest monthly value of merchandise export in March 2022 amounting USD 40.38 billion, an increase of 14.53% over USD 35.26 billion in March 2021 and an increase of 87.89% over USD 21.49 billion in March 2020. India’s merchandise import in April 2021-March 2022 was USD 610.22 billion, an increase of 54.71% over USD 394.44 billion in April 2020-March 2021 and an increase of 28.55% over USD 474.71 billion in April 2019-March 2020. The trade deficit in March 2022 was USD 18.69 billion, while it was 192.41billion USD during April 2021-March 2022."
Ministry of Commerce and Industry,"Shri Piyush Goyal calls for free trade within rules-based multilateral trading system We must work to resolve issues posed by Non- Tariff Barriers in international trade. The Minister of Commerce and Industries, Consumer Affairs, Food and Public Distribution and Textiles, Shri Piyush Goyal today called for free trade within a rules-based multilateral trading system with honesty and transparency as core values. He added that wherever India faces an unfair or unjust treatment, it will take reciprocal action. Shri Goyal also emphasized upon the need for resolution of issues posed by Non- Tariff Barriers in international trade. He was addressing the 54th Convocation of Indian Institute of Foreign Trade in New Delhi today."
Ministry of Commerce and Industry,Guidelines for Engagement of Young Professionals/ Associates/ Consultants/ Senior Consultants in Department of Commerce as Independent Consultants.
Ministry of Commerce and Industry,COMPENDIUM OF INITIATIVES UNDERTAKEN FOR TRADE FACILITATION – EXIM LOGISITCS. The compendium provides a snapshot of reform measures that related ministries and agencies have undertaken to improve the EXIM logistics. This helps in better dissemination and supports in building the confidence of all the stakeholders involved in the logistics sector
Ministry of Commerce and Industry,"Union Minister for Commerce & Industry, Piyush Goyal has announced that India has achieved a landmark milestone, wherein 75000 startups have been recognized in the country. The Department for Promotion of Industry and Internal Trade (DPIIT) has recognized more than 75,000 startups- a milestone which coincides with the 75th year of independence."
Ministry of Commerce and Industry,The Ministry of Commerce & Industry’s export promotion body for agricultural products APEDA has set an export target of $23.56 billion for the Financial Year 2022-23 (FY23). APEDA will organise over 300 events in the current year to achieve the export target.
Ministry of Commerce and Industry,"The Commerce Ministry is proposing a host of direct and indirect incentives such as deferral of import duties and exemption from export taxes to revamp Special Economic Zones through a new legislation, an official said. In the Union Budget this year, the government proposed to replace the existing law governing Special Economic Zones (SEZs) with a new legislation to enable states to become partners in 'Development of Enterprise and Service Hubs' (DESH)."
Ministry of Commerce and Industry,"The joint efforts of the government and the state/UT under the leadership of Hon’ble Narendra Modi ji, have enabled startup ecosystems all across the nation throughout the years to expand via innovation and hasten the entrepreneurship development."
Ministry of Commerce and Industry,"Department for Promotion of Industry and Internal Trade (DPIIT) handles the core programmes/schemes for India's Industrial development viz. Make in India, Ease of Doing Business, Startup India, IPR, Internal Trade, e-Commerce, Logistic, FDI etc. With a view to utilize young talent having professional qualifications to build organizational capacity, strengthen programme monitoring, scheme formulation, evaluation, project monitoring protection of IPR and formulate trade and commerce in the country, this Department proposes to engage Young Professionals for its various Divisions (YP-Non-ICT) and National Informatics Centre (YP-ICT) of Department. "
Ministry of Commerce and Industry,"The EP (Gems and Jewellery) Division deals with facilitating and promoting exports of gems and jewellery products along with appraisal of imports of commodities relating to gems & jewellery sector. EP(G&J) Division facilitates various export promotional measures for gems and jewellery sector including participation in trade promotion events along with export related interventions to address the issues/challenges faced by the industry. The Division also handles work related to preparation and review of export strategy/action plan, monitoring & analyzing export performance, taking corrective actions along with issues pertaining to domestic gems & jewellery industry."
Ministry of Commerce and Industry,"Minister of Railways, Commerce & Industry, and Consumer Affairs and Food & Public Distribution Shri Piyush Goyal today called upon the Indian pharmaceutical and health care sector to adopt best practices in terms of quality, facility and commitment to maintain high standards. Addressing the 6th International Conference on Pharmaceutical & Medical Devices Sector, he said that we all should collectively ensure that the nation will have good manufacturing practices. The entire health ecosystem should provide confidence to the world that India is the place you should look at for anything to do with health and is the one stop solution."
Ministry of Tourism,Ministry of Tourism Government of India (North) started the Har Ghar Tiranga campaign on 13th Aug 2022 by hoisting the National Flag at the premises of Holy Badrinath Temple complex and also the participants did a Parikrama.
Ministry of Tourism,"To boost medical tourism, govt plans these facilities for international patients. The initiative that aims to boost medical tourism in India will feature special desks at 10 airports, a multi-lingual portal and simplified visa norms for the incoming international passengers, visiting India for medical purposes. "
Ministry of Tourism,"Ministry of Tourism celebrated Azadi Ka Amrit Mahotsav at the National War Memorial, New Delhi today by organising a visit of the Tourism related stakeholders to the Memorial. The Ministry of Tourism felicitated 7 kith & kin of the martyrs."
Ministry of Tourism,"Ministry of Tourism developed a new set of yoga creatives which were shared with Domestic and Overseas India Tourism Officers, as well as with stakeholders and Indian Mission abroad to promote the International Day of Yoga."
Ministry of Tourism,"The first Incredible India International Cruise Conference 2022 was held at Mumbai from 14-15 May, 2022. The Union Minister of Tourism, Culture and the DoNER addressed the participants on May 15th 2022 about the ‘Potential of River Cruising and Cruise Tourism: Success Stories and Destination Development’. The two-day conference showcased the abundant business opportunities available in the cruise tourism sector in the country."
Ministry of Tourism,"Ministry of Tourism has developed digital brochures on 06 selected UNESCO World Heritage Sites viz. on Great Himalayan National Park Conservation Area, Mahabodhi Temple, Manas Wildlife Sanctuary, Rock Shelters of Bhimbetka, Champaner Pavagadh Archeological Park and Ramappa Temple for the promotion of heritage tourism."
Ministry of Tourism,"The celebration of achievement of #VaccineCentury was done as India achieved the 100 crore vaccine mark and to inform the tourists of India as a safe tourism haven. 'India Reopening' along with free distribution of the first 05 lakh Tourist Visas was also amplified to welcome the first set of tourists from Chartered Flights. Relevant highlights from the Hon'ble PM, Hon’ble Minister(T) and other Ministries were posted as posts and stories simultaneously. Similarly, #IndiaAt75, the activities carried out by the State Government and India Tourism offices were also simultaneously amplified. Initiatives like #EkBharat ShreshthaBharat, #AatmaNirbharBharat, #Vocal4Local and their amplification through relevant creative posts were also carried out."
Ministry of Tourism,"Extending the SwachchataPakhwada2021, India Tourism Varanasi organised a campaign at Chandra Prabha Wildlife Sanctuary at Rajdari and Devdari with the support of Forest Department of the Region. India Tourism Imphal in association with SS Tours & Travels organized a Swachh Bharat Abhiyan campaign at Mary Com Complex, Lamphelpat on 02.10.2021 in commemoration of birth anniversary of Mahatma Gandhi."
Ministry of Tourism,"Ministry of Tourism participated at the Dubai Expo, Dubai, UAE held under the aegis of Department of Commerce (DoC) and Ministry of External Affairs (MEA) from 03-14 January, 2022. Ministry of Tourism was represented by the Additional Secretary (Tourism) who also inaugurated the ‘Tourism Fortnight’ at the Expo on 03.01.2022 highlighting the new Policy Framework of the Ministry that will boost growth in the sector. The India Pavilion drew large number of people, who got a chance to view the varied tourism products of the country exhibited thematically."
Ministry of Tourism,"The Ministry of Tourism has also constituted the India Golf Tourism Committee (IGTC) with Secretary (Tourism) as the Chairman, which is the nodal body for golf tourism in the country."
Ministry of Tourism,"The Ministry of Environment, Forest and Climate Change, Government of India has recently prepared ‘Policy for Eco-Tourism in Forest and Wild Life Areas’ and the Ministry of Tourism has extended support to this Policy."
Ministry of Tourism,Ministry of Tourism has developed a State Assessment Framework ideated from World Economic Forum’s Travel and Tourism Competitiveness Index (TTCI) for assessing and evaluating the performance of States/UTs in the travel and tourism sector. The framework comprises of four domains with 30 indicators distributed among them.
Ministry of Tourism,"As we celebrate Azadi ka Amrit Mahotsav , I urge everyone to visit the National War Memorial in the Amrit Kaal and pay tribute to the soldiers, who have sacrificed their lives for the Nation: Tourism Secretary Sh. Arvind Singh"
Ministry of Tourism,"Hon’ble Minister for Tourism, Culture and DONER, along with Hon’ble Minister of Railways, Communications, Electronics and Information Technology flagged off the Bharat Gaurav Tourist Train covering the Ramayana Circuit in 18 days from Delhi Safdarjung Railway Station. The unique concept of Bharat Gaurav Trains will be helpful in promoting mass tourism and will provide an opportunity to explore the architectural cultural and historical of the country."
Ministry of Information and Broadcasting,"Aim to make India content sub-continent of the world- Shri Anurag Thakur
Indian content is going to explode globally: Shri Ranveer Singh
Most hip hop and happening pavilion in Expo is Indian Pavilion: Shri Ranveer Singh
Indians prefer to fly to Dubai over western capitals in pandemic years: Shri Anurag Thakur
India has great potential in tourism, IT talent benefits global industries: Mr Issam Kazim, CEO, Dubai Corporation for Tourism and Commerce Marketing."
Ministry of Information and Broadcasting,"As people eagerly await the results of the recently held Assembly Polls in 5 states, DD News and All India Radio News, the news broadcasting arms of public broadcaster Prasar Bharati, are all set to cover the minute to minute updates on the counting day on March 10, 2022.  

Through a wide network of onground reporters and stringers to ensure accuracy and fact-check in counting statistics, DD News will bring you the most accurate figures in real time from all the five states. Political experts and psephologists will be analysing those figures live on DD News show ‘Janadesh’, from 7 AM onwards."
Ministry of Information and Broadcasting,"The Ministry of Information & Broadcasting has ordered blocking of apps, website, and social media accounts of foreign-based “Punjab Politics TV” having close links with Sikhs For Justice (SFJ), an organization that has been declared unlawful under the Unlawful Activities (Prevention) Act, 1967. Relying on intelligence inputs that the channel was attempting to use online media to disturb public order during the ongoing State Assembly Elections, the Ministry used emergency powers under the IT Rules on 18th February to block the digital media resources of “Punjab Politics TV”."
Ministry of Information and Broadcasting,"Union Minister of Information and Broadcasting Shri Anurag Thakur has today congratulated the Kangra Central Cooperative Bank (KCCB) on its phenomenal turn around. The bank which had suffered a loss of around Rs 46 crore in just four years has earned a profit of Rs 87 crores in the financial year 2021-22. The Minister expressed his profound happiness that this also happens to be the highest ever profit earned by the bank.

Shri Thakur reiterated the vision of Prime Minister Shri Narendra Modi that the Government is steadfast in its efforts to merge the spirit of Cooperation with the Spirit of ‘Azadi ka Amritkaal’. The Prime Minister has categorically stated that the Government is working to ensure that cooperative societies become competitive in the market and get a level playing field and reduction in taxes on cooperatives is a move towards that goal, the Minister recalled. The remarkable achievement of the bank will further the motto of “Sahkarita Se Samriddhi” (Prosperity Through Co-operation)."
Ministry of Information and Broadcasting,"Shri Satyendra Prakash assumed charge as Principal Director General of Press Information Bureau (PIB) today. Shri Prakash is an Officer of the Indian Information Service, Batch of 1988. Prior to this he held the position of Principal DG, Central Bureau of Communication. Shri Satyendra Prakash has a wide experience in Central Government in the field of public communication, media management, administration, policy formulation and programme implementation. He has represented Government of India in various national and international forum like UNESCO, UNICEF, UNDP etc. He has been instrumental in formulation of draft Guidelines for Content Regulation of Government Advertising, Internet and Digital Media Policy, FM Radio Policy, Digital Cinema Policy etc. for Central Bureau of Communication. He was recognized for his role in presentation of the first ever tableau of Ministry of Information and Broadcasting on Republic Day in 2021 on the theme of Vocal for Local."
Ministry of Information and Broadcasting,"Union Minister of Information and Broadcasting Shri Anurag Thakur today released three books published by Directorate of Publications Division. Upon release the Minister presented the first copy of the books to President of India Shri Ram Nath Kovind in presence of Vice President Shri M. Venkaiah Naidu, President-elect Smt. Droupadi Murmu and Prime Minister Shri Narendra Modi. The three books are:

Moods, Moments and Memories - Former Presidents of India (1950-2017) A Visual History
First Citizen - Pictorial Record of President Ram Nath Kovind's Term
Interpreting Geometries - Flooring of Rashtrapati Bhavan."
Ministry of Information and Broadcasting,"The Jury for the 68th National Film Awards announced the winners for the year 2020 here today. Ahead of the announcement, the Chairperson and other Jury members called on the Union Minister for Information and Broadcasting Shri Anurag Thakur and presented him with the selections for the Awards. Shri Thakur has congratulated all the winners and said 2020 was a particularly difficult year for films due to the COVID pandemic, yet the nominations consisted of great works. The Minister also thanked the Jury for diligently going through the entries and selecting the best for the awards."
Ministry of Information and Broadcasting,"Union Minister of Information and Broadcasting Shri Anurag Thakur today said that in 2021-22 the Ministry has taken strong action against YouTube channels working against the interest of the country. Responding to a question in Rajya Sabha, Shri Thakur said the Ministry has acted against 94 YouTube channels, 19 social media accounts and 747 URLs and got them blocked. These actions have been taken under the Section 69A Information Technology Act 2000.

The Minister further said that the Government has strongly acted against agencies working against the sovereignty of the country by spreading fake news and spreading propaganda on internet."
Ministry of Information and Broadcasting,"Steering Committee deliberates roadmap for 53rd International Film Festival of India (IFFI). The festival aims at providing a common platform for filmmakers from across the globe to showcase their talent and put forth the excellence of cinema from all over. Bringing together film cultures, the festival allows the understanding of various social and cultural ethos and appreciation of world cinema. The festival is conducted jointly by the Directorate of Film Festivals (under Ministry of Information and Broadcasting, Government of India) and the state Government of Goa."
Ministry of Information and Broadcasting,"Government approves assistance for 7 journalists and 35 families of journalists under Journalist Welfare Scheme. 16 families of journalists who lost their lives due to Covid-19 to get Government assistance. The Central Government has approved a proposal of the Journalist Welfare Scheme Committee headed by Sh. Apurva Chandra, Secretary, Ministry of information and Broadcasting, to provide financial relief to the families of 35 journalists who have lost their lives. This includes 16 families of journalists who died due to Covid-19 under the Journalist Welfare Scheme (JWS). The families will be provided with assistance up to Rs. 5 lakhs.
"
Ministry of Information and Broadcasting,"Ministry of Information and Broadcasting through three different orders today transferred the mandate of production of documentaries and short films, organization of film festivals and preservation of films to the National Film Development Corporation (NFDC), a PSU working under the Ministry. Bringing all these activities under a single management will reduce the overlap of various activities and ensure better utilization of public resources. The mandate of production of feature films is already being carried out by NFDC. It will give a strong impetus to the production of films of all genres including feature films, documentaries, children films and animation films; promotion of films through participation in different international festivals and organizing various domestic festivals; preservation of filmic content, digitization and restoration of films; and  distribution and outreach activities. The ownership of the assets available with these units will, however, remain with the Government of India."
Ministry of Information and Broadcasting,"A unique and innovative programme, ‘The Guardian Ring’ has been envisaged for this year’s International Yoga Day, 2022. As announced by Hon’ble Prime Minister Shri Narendra Modi in his Mann ki Baat programme, the Guardian Ring programme celebrates the movement of the Sun, underlining the concept of ‘One Sun, One Earth’. From East to West, people from all countries would welcome the Sun with Yoga, celebrating the Indian tradition of Surya Namaskar or sun-salutation. This one-of-a-kind programme is being telecast live exclusively on DD India, the international channel of India’s Public Broadcaster Prasar Bharati."
Ministry of Information and Broadcasting,Union Education and Skill Development & Entrepreneurship Minister Shri Dharmendra Pradhan along with Union Minister for Information & Broadcasting and Sports Shri Anurag Thakur today released a book  ‘Loktantra ke Swar’ and ‘The Republican Ethic’ having selected speeches  of the President of India Shri Ram Nath Kovind. This the fourth volume of the series featuring the fourth year of presidency of Shri Ram Nath Kovind. The compilation contains speeches on a wide range of subjects. E-books were also released on the occasion.
Ministry of Information and Broadcasting,"Union Minister for Information & Broadcasting Shri Anurag Singh Thakur gifted Himachali Thaal, Topi and Shawl to the descendants of General Jean Francois Allard and his spouse Princess Bannu Pan Dei of Chamba, during his visit to Allard Square in Saint Tropez in France. Princess was born in Chamba, Himachal Pradesh.
"
Ministry of Information and Broadcasting,"“It is Prime Minister’s Narendra Modi’s vision to prioritize preservation, protection & promotion of India’s rich cultural heritage, and films constitutes important part of this heritage” the Union Minister of Information & Broadcasting Shri. Anurag SinghThakur said during his visit to National Film Archive of India, Pune today.

The Union Minister highlighted that the National Film Heritage Mission launched in 2016 is aimed at preserving, restoring and digitizing our cinematic heritage. In this context, the Union Minister announced that a decision has been taken yesterday that, “Out of the total outlay of Rs. 597 crore earmarked for this Mission, Rs. 363 Crore shall be utilized exclusively for restoration purpose, making it one of the World’s largest film restoration projects”."
Ministry of Electronics and IT,UGC and Ministry of Electronics and Information have collaborated to launch an e-resource portal for rural students. This initiative has been made in order to facilitate accessibility for learning and education as per NEP 2020.
Ministry of Electronics and IT,"Ashwini Vaishnaw, Minister of Electronics & IT inaugurates “8 years of MyGov” event in New Delhi"
Ministry of Electronics and IT,"The Ministry of Electronics and Information Technology has floated an expression of interest (EOI) seeking proposals from autonomous, government-recognised institutions, research, and development (R&D) organisations, and startups to establish a National Sensor Hub."
Ministry of Electronics and IT,An Memorandum of Understanding (MoU) was signed today between Ministry of Ayush and Ministry of Electronics and Information Technology (MeitY) for providing technical support to Ministry of Ayush for digitalisation of Ayush Sector under the Ayush Grid project for a period of 3 years.
Ministry of Electronics and IT,"To cater next-generation digital manufacturing and mitigate immediate disabilities of local industries, Shri Ashwini Vaishnaw, Union Minister of Electronics & Information Technology, Communications & Railways and Shri Rajeev Chandrasekhar, Minister of State for Electronics & Information Technology and Skill Development and Entrepreneurship will release “National Strategy on Additive Manufacturing” on 24th February 2022. Shri Ajay Sawhney, Secretary, Ministry of Electronics & Information Technology (MeitY) and Shri Jayesh Ranjan, Principal Secretary, Departments of Industry & Commerce and Information Technology, Telangana Government will attend the event along with senior officials from MeitY."
Ministry of Electronics and IT,"National Mission on Power Electronics Technology (NaMPET) is a programme launched by the Ministry of Electronics and Information Technology (MeitY), Govt. of India in 2004, with a vision to provide the country with capability to become a dominant player in Power Electronics Technology. Through this programme, Research, Development, Deployment and Commercialization of Power Electronics Technology is envisaged by enhancing the indigenous R&D expertise and infrastructure in the country with active participation from academic institutions and industries."
Ministry of Electronics and IT,"The Ministry of Heavy Industries (MHI) launched an Automated Online Data Transfer system to collect critical domestic value addition (DVA) data from a Production Linked Incentive scheme (PLI) applicant’s enterprise resource planning (ERP) system.
The PLI scheme was launched to boost domestic manufacturing, investments, and the export of telecom and networking products. The PLI Scheme for Automobile and Auto Component Industry in India (PLI Auto) proposes financial incentives to boost the domestic manufacturing of Advanced Automotive (AAT) products and attract investments in the automotive manufacturing value chain."
Ministry of Electronics and IT,"The roll-out of 5G spectrum is expected to start in October, and within a year or two, we should have a good significant presence of 5G in the country, stated Union Minister for Railways, Communications, Electronics & Information Technology Shri Ashwini Vaishnaw in Mumbai today. Addressing a press conference on ‘Indian 5G Opportunity’ here, the Union Minister thanked the telecom industry for great response to the recently held 5G spectrum auction. “5G services rollout will happen in October beginning, spectrum auctions will be completed in next 2-3 days, soon afterwards, spectrum allocation will happen, we have already told industry that they should act fast after allocation in order to do the set-up and roll out services soon, this is the type of planning which is going on now”, he said."
Ministry of Electronics and IT,"The future roadmap of the digital revolution in India includes Cloud Computing in a big way. Alongside, e-Governance is already at the vanguard of revolutionising governance in the country from ‘system and power-centered’ to ‘resident and service-centered’.
Fusing the two together, the National e-Governance Division (NeGD) of the Ministry of Electronics and Information Technology (MeitY) organized the first batch of Capacity Building programme in Cloud Computing for government officials of Central Line ministries, State/UT Departments, Mission Mode Project officers, e-Governance Project heads and State e-Mission teams. The two-day programme was held on August 4-5, 2022, at the Haryana Institute of Public Administration covering participants from Delhi-NCR."
Ministry of Electronics and IT,"Common Services Centres (CSCs) were set up under the Digital India Programme for delivery of public services, including cyber services, to every citizen. The CSC scheme envisages setting up of at-least one CSC in each of 2.50 lakh Gram Panchayats (GPs) across the country, for delivery of various Government-to-Citizen (G2C) and other citizen-centric e-Services to citizens. It is a self-sustainable entrepreneurship model which is run by Village Level Entrepreneurs (VLEs).
As on June 2022, total 5,31,203 CSCs are operational across all states & Union Territories of the country, out of which, total 4,20,198 CSCs are operational at Gram Panchayat (GP) level."
Ministry of Electronics and IT,"CERT-In extends timelines for enforcement of Cyber Security Directions till 25 September, 2022 for MSMEs and for the validation aspects of subscribers/customers details
It will enable MSMEs to build capacity required for the implementation of the Cyber Security Directions of 28.04.2022
Data Centres, VPS providers, Cloud Service providers and VPN Service providers are also given additional time for implementation of mechanisms relating to validation aspects of subscribers/customers details"
Ministry of Electronics and IT,"Qualcomm and MeitY’s Centre for Development of Advanced Computing (C-DAC) partner to support Indian semiconductor startups
The collaboration will support a group of promising semiconductor design startups, as a part of the government and the industry’s ongoing efforts to encourage innovation in the semiconductor space
"
Ministry of Electronics and IT,"Semiconductor Manufacturing Attracts interest from Global Companies as Good Number of Applications received under The Programme: Ashwini Vaishnaw
Semicon India Program Aims to provide attractive incentive support to Companies / Consortia Engaged in Silicon Semiconductor Fabs, Display Fabs, Compound Semiconductors and Semiconductor Design
Meeting of Parliamentary Consultative Committee attached to Ministry of Electronics & IT held"
Ministry of Electronics and IT,"Government under Shri Narendra Modi launches country’s biggest ever Quiz Contest Sabka Vikas Mahaquiz
Sabka Vikas Mahaquiz aims to build awareness amongst citizens about Government's various Schemes & Good Governance
Sabka Vikas Mahaquiz launched on 14th April as a tribute to Dr BR Ambedkar; First quiz is on Pradhan Mantri Garib Kalyan Anna Yojana
Quiz available in 12 languages, offering cash prizes of Rs 2,000 each to 1,000 winners per quiz"
Ministry of Culture,"Shri Amit Shah, Minister of Home Affairs to attend the cultural programme Mukti-Matrika (‘Freedom as Mother’) at Victoria Memorial Hall, Kolkata tomorrow

The event is being organised as part of ongoing celebration of Azadi ka Amrit Mahotsav.
The Minister of Home Affairs and Cooperation, Shri Amit Shah  will attend a cultural programme, Mukti-matrika (‘Freedom as Mother’), organised by Ministry of Culture at the Victoria Memorial Hall, Kolkata tomorrow. The Governor of West Bengal, Shri Jagdeep Dhankhar will also grace the occasion among other dignitaries."
Ministry of Culture,"Ministry of Culture through its Autonomous Bodies namely Sahitya Akademi, Sangeet Natak Akademi and Centre for Cultural Resources and Training (CCRT) has taken special steps for research and study on tribal culture, art and literature. CCRT organizes various training programmes to create awareness about the Indian culture including Tribal Culture in schools across the country. CCRT has also set up its Regional Centres in Tribal dominated areas i.e. Regional Centre Guwahati (Assam), Regional Centre Udaipur (Rajasthan) , Regional Centre Hyderabad and Regional Centre  Damoh (Madhya Pradesh). Tribal experts and artists are also involved in the training programmes conducted at these regional centres."
Ministry of Culture,"In honor of the martyrs of Kargil War, Ministry of Culture organizes a special performance of the play 'Kargil Ek Shaurya Gatha at the National War Memorial today 
National School of Drama, organized a special performance of the play 'Kargil Ek Shaurya Gatha' directed by Shantanu Bose for the dignitaries and Army Officers at the National War Memorial, New Delhi in honor of the martyrs of Kargil War today.

Today's celebration at National War Memorial gives us an opportunity to express our gratitude and cherish the memory of our National heroes : Smt Meenakashi Lekhi"
Ministry of Culture,"Ministry of Culture, Government of India is celebrating India's 75 years of Independence as Azadi ka Amrit Mahotsav. On this occasion, National School of Drama (NSD), New Delhi is organizing a festival ""Azadi Ka Amrit Mahotsav - 22nd Bharat Rang Mahotsav, 2022 (Azadi Segment)"" to remember and pay tribute to our freedom fighters, under ""Azadi Ka Amrit Mahotsav 2022"""
Ministry of Culture,"NMA to submit a report on comprehensive development of Mahuli group of temples to Ministry of Culture. NMA to submit a report on comprehensive development of Mahuli group of temples to Ministry of Culture. The famous group of temples - known as Dakshin Kashi, comprise of five temples belonging to 11th  and 12th  CE in Hemadpanthi style of architecture and are located near Satara."
Ministry of Culture,"MoS Culture Shri Arjun Ram Meghwal opens the Azadi Ka Amrit Mahotsav- 22nd Bharat Rang Mahotsav 2022

NSD should prepare plays based on incidents connected with unsung heroes and bring their stories of courage and bravery before citizens of the country: Sh. Arjun Ram Meghwal Ministry of Culture, Government of India is celebrating India’s 75th year of Independence as Azadi ka Amrit Mahotsav. On this occasion, National School of Drama (NSD), New Delhi is organizing a festival “Azadi Ka Amrit Mahotsav- 22nd Bharat Rang Mahotsav, 2022 (Azadi Segment)” to remember and pay tribute to our freedom fighters, under “Azadi Ka Amrit Mahotsav 2022” from 16th July to 14th August 2022. The opening ceremony of the festival was inaugurated by  Minister of State for Parliamentary Affairs and Culture, Govt. of India Sh. Arjun Ram Meghwal. Ms. Malini Awasthi, Padma Shree Awardee, Renowned Indian folk Singer and Sh. Arvind Kumar and Director, Ministry of Culture, were among those who were present on the occasion ."
Ministry of Culture,Ministry of Culture organized the first event of the series Dhara – an Ode to Indian Knowledge System today as part of week-long celebration of Science Vigyan Sarvatra Pujyate
